Age,AvgInteract,StdyHour,BffTime,HobbyHour,SleepHour,Gender,AcademicLevel
22,40,10,7,7,9,Female,Pre-U
26,29,9,5,3,8,Female,Degree
26,15,11,5,10,6,Female,Pre-U
28,40,10,6,8,6,Female,Degree
29,36,9,7,6,6,Female,Degree
23,50,8,6,5,8,Male,Degree
24,30,12,5,2,10,Male,Degree
19,16,12,5,7,6,Female,Degree
23,32,11,5,7,6,Female,Degree
23,36,7,5,5,9,Male,Degree
21,18,8,4,5,7,Male,Degree
26,23,12,5,6,8,Female,Degree
26,24,10,6,6,7,Female,Postgraduates
23,34,8,5,4,8,Male,Degree
22,42,14,8,5,5,Female,High school
27,24,10,6,3,7,Male,Pre-U
31,48,9,7,9,5,Male,Pre-U
29,18,11,8,6,6,Male,High school
22,23,12,5,6,9,Male,Degree
24,15,9,6,10,8,Female,Degree
21,23,7,5,7,7,Female,Degree
30,32,14,6,7,6,Male,Degree
32,23,9,5,3,8,Male,Degree
18,29,8,5,6,4,Female,Degree
26,45,6,6,10,7,Female,High school
27,28,11,7,6,8,Female,Pre-U
17,24,11,5,5,6,Female,Degree
21,24,7,5,6,9,Female,Degree
27,35,9,6,6,4,Male,High school
27,22,9,6,8,6,Male,Pre-U
26,36,10,5,8,3,Female,Degree
27,49,12,5,5,10,Male,Postgraduates
27,36,8,5,4,8,Female,Degree
22,42,7,5,8,5,Male,Degree
27,36,10,5,7,4,Male,Degree
24,31,11,4,5,8,Female,High school
30,22,12,6,6,5,Female,Degree
28,31,8,4,5,8,Male,Pre-U
27,32,13,6,9,7,Male,Degree
26,24,5,6,6,5,Female,Degree
18,13,11,6,10,7,Female,Pre-U
25,50,9,6,6,9,Male,Degree
19,19,10,4,9,8,Female,Postgraduates
32,35,13,8,4,6,Male,Degree
29,4,16,6,2,5,Female,High school
18,36,6,6,6,7,Female,Pre-U
31,9,10,7,6,3,Female,Degree
23,13,6,7,6,6,Male,Degree
26,20,8,5,6,7,Male,Degree
18,25,11,6,5,6,Male,Degree
30,7,9,6,8,10,Female,Degree
34,26,12,3,6,10,Male,Degree
25,32,7,6,6,8,Female,Degree
23,33,11,6,5,4,Male,Degree
22,35,7,4,4,5,Female,Degree
26,25,7,5,8,6,Male,Degree
29,47,7,6,6,9,Female,Degree
23,18,10,6,7,5,Female,Degree
25,30,5,6,9,5,Male,Degree
29,20,9,8,3,6,Female,Degree
30,33,12,6,10,7,Female,Degree
24,23,15,5,7,4,Female,Degree
26,37,10,5,6,4,Male,Degree
32,32,7,4,10,7,Female,Degree
30,25,11,4,6,10,Male,Degree
29,45,13,6,5,7,Female,Degree
23,39,11,5,5,7,Male,Degree
20,17,7,6,8,8,Male,High school
34,50,7,5,8,7,Female,Degree
25,34,9,4,6,3,Female,Degree
19,31,11,4,5,7,Female,Degree
28,23,3,6,6,8,Male,Degree
28,35,14,5,10,6,Male,Postgraduates
28,31,13,5,6,6,Female,Degree
17,36,14,6,9,7,Male,Degree
17,36,11,5,7,8,Male,Degree
22,34,11,6,9,7,Female,Degree
17,29,7,5,5,7,Female,Degree
24,11,10,6,8,6,Male,High school
32,32,8,7,7,8,Female,Degree
22,27,13,6,8,10,Female,Degree
22,49,10,5,6,6,Female,Degree
21,26,14,5,6,6,Male,Degree
21,23,13,5,10,10,Male,Degree
24,2,13,6,6,10,Female,Degree
21,16,11,5,9,6,Female,Degree
24,48,9,1,3,8,Male,Degree
18,20,8,4,6,7,Male,High school
30,40,10,6,7,3,Male,Degree
17,19,11,6,5,6,Female,Degree
32,39,13,4,9,4,Female,Degree
23,29,7,8,5,7,Female,Degree
28,30,7,5,9,7,Female,Degree
24,24,8,7,7,3,Male,Degree
21,28,5,5,8,6,Female,Degree
20,33,10,4,5,9,Female,High school
28,50,9,4,9,7,Female,High school
22,23,10,5,10,5,Male,Degree
29,45,9,6,6,8,Female,Degree
26,29,3,5,7,5,Male,Degree
29,33,8,6,9,6,Male,Degree
19,25,6,7,4,5,Male,Degree
22,12,11,5,9,10,Female,Degree
23,44,11,7,6,6,Female,High school
24,15,13,5,6,6,Male,High school
26,31,13,7,6,9,Male,High school
24,24,3,6,4,10,Male,Degree
34,24,3,7,6,7,Male,Degree
30,26,14,4,5,7,Female,Degree
27,22,7,5,3,6,Female,High school
25,15,5,4,6,6,Male,High school
30,9,6,5,5,7,Male,Degree
20,18,8,7,6,7,Female,Degree
24,19,10,6,6,8,Male,Degree
25,25,5,6,2,4,Male,Pre-U
27,23,13,4,9,4,Female,Degree
22,22,13,5,2,9,Male,High school
23,27,8,5,9,5,Female,Degree
32,12,15,6,6,9,Male,Degree
22,31,11,5,8,7,Female,High school
24,18,8,6,7,7,Female,Degree
22,11,15,5,7,8,Female,Degree
17,38,12,5,8,9,Male,High school
20,44,10,5,5,4,Female,Degree
18,26,13,5,7,4,Female,Degree
19,25,16,5,6,5,Male,Degree
34,16,8,6,8,3,Female,Degree
29,37,3,6,6,4,Male,Degree
22,28,8,6,10,10,Female,Degree
27,42,4,6,7,9,Female,Degree
17,37,7,5,6,9,Female,Pre-U
37,19,14,5,5,7,Male,Degree
23,50,12,5,6,10,Male,Degree
21,31,12,5,8,8,Female,Degree
27,24,9,4,9,6,Female,Degree
19,37,12,6,7,8,Male,Degree
23,31,11,5,7,8,Female,High school
33,30,9,6,9,6,Female,Degree
24,0,12,6,9,5,Male,Degree
29,26,11,5,5,8,Male,Degree
26,31,12,5,8,6,Male,Degree
26,13,10,5,7,7,Female,Degree
25,28,11,6,8,5,Male,Degree
22,35,13,6,3,6,Female,High school
24,21,13,5,8,7,Male,Pre-U
17,29,9,5,7,7,Male,Degree
30,13,13,4,7,7,Female,Degree
25,28,6,7,9,9,Male,High school
23,18,13,7,6,10,Female,Pre-U
20,33,8,5,10,6,Male,High school
26,40,13,5,7,5,Female,Degree
26,29,10,4,4,6,Male,Degree
24,29,13,5,9,9,Female,Pre-U
35,7,8,5,6,8,Male,Degree
29,34,11,3,4,4,Male,Degree
17,32,15,4,6,4,Female,Pre-U
29,25,10,6,8,8,Male,High school
26,43,10,7,9,7,Male,Degree
25,43,15,6,8,9,Female,Degree
32,32,9,7,5,7,Female,Pre-U
22,23,13,5,6,8,Female,High school
23,23,7,6,10,7,Female,High school
17,16,15,5,6,4,Female,High school
20,39,10,4,4,5,Male,Postgraduates
29,22,15,6,7,8,Male,Pre-U
23,38,12,7,7,4,Male,High school
25,23,7,6,6,8,Female,Pre-U
20,35,11,5,7,7,Female,Degree
28,43,14,5,6,6,Male,Degree
23,29,8,5,6,6,Male,Postgraduates
25,30,8,6,10,5,Male,Degree
29,30,9,3,7,7,Female,Degree
24,33,6,6,7,7,Male,Degree
21,30,10,6,10,7,Male,Degree
20,22,9,5,6,6,Female,High school
35,32,3,7,7,7,Male,High school
24,41,16,7,7,9,Male,Pre-U
22,13,6,5,9,9,Male,High school
21,27,15,5,4,7,Female,Postgraduates
29,37,10,5,9,5,Female,Degree
17,12,9,7,7,5,Female,High school
26,29,9,8,7,6,Female,High school
18,34,16,5,7,7,Female,Degree
19,39,9,5,9,10,Female,High school
29,30,11,5,8,7,Female,Degree
26,24,8,5,9,6,Male,Degree
30,29,9,7,6,5,Female,Pre-U
19,28,6,6,5,8,Male,Degree
31,33,9,5,10,6,Female,Degree
24,28,11,4,7,7,Female,Degree
21,17,8,7,2,3,Female,Degree
31,44,8,7,8,6,Female,Degree
21,30,4,5,3,5,Female,High school
22,30,13,6,8,8,Female,Degree
24,19,9,5,9,5,Female,Degree
30,25,6,5,7,6,Female,Postgraduates
22,37,15,6,4,5,Male,Degree
23,40,13,5,5,10,Male,High school
22,44,9,5,10,9,Female,Degree
24,31,6,4,6,8,Female,Degree
17,28,11,5,3,5,Male,Pre-U
31,36,3,5,4,4,Male,Degree
28,17,4,5,6,4,Female,High school
17,29,7,6,6,9,Male,Pre-U
33,22,8,7,6,7,Male,High school
29,34,10,5,10,3,Male,Degree
27,18,13,6,5,5,Female,Degree
22,45,8,6,8,4,Male,Degree
21,24,12,5,7,7,Female,Degree
18,28,6,6,5,8,Male,Degree
21,50,8,6,3,6,Female,Degree
28,17,8,5,5,7,Male,Pre-U
26,16,13,5,7,5,Male,Degree
27,40,9,7,8,6,Female,Postgraduates
25,32,10,3,8,6,Male,High school
28,37,9,5,5,6,Female,Degree
23,25,9,4,6,6,Male,Degree
26,38,5,5,5,6,Male,Degree
30,39,11,5,5,7,Female,Degree
29,34,8,6,9,6,Male,Pre-U
24,49,10,4,10,7,Male,High school
26,33,11,5,7,5,Female,Degree
22,36,8,5,8,6,Male,Pre-U
31,33,10,6,7,4,Male,Degree
23,28,4,6,8,4,Female,Degree
25,29,10,6,5,8,Male,Degree
31,34,9,5,10,3,Female,Degree
30,23,10,5,8,5,Male,Degree
23,16,11,6,6,4,Male,High school
17,33,14,6,6,5,Female,Degree
21,50,11,6,8,9,Female,Degree
30,49,9,4,7,8,Female,Degree
24,31,4,4,7,7,Male,Degree
24,17,8,6,10,9,Male,Degree
25,20,8,8,6,6,Female,Degree
24,24,12,5,7,9,Female,Degree
24,23,12,5,8,5,Female,Pre-U
17,24,12,5,7,8,Male,High school
26,23,7,4,7,7,Male,Degree
26,24,13,5,7,9,Female,Pre-U
23,50,10,5,4,9,Male,Degree
22,26,10,4,6,8,Female,Degree
21,28,10,4,3,6,Female,Degree
30,44,9,7,7,7,Male,Degree
28,33,9,7,7,9,Female,Degree
25,28,11,7,8,6,Male,Pre-U
21,41,11,5,10,3,Female,Pre-U
32,21,13,6,6,5,Male,Degree
22,40,9,7,6,8,Male,Degree
32,10,7,6,9,8,Male,Degree
20,43,12,6,5,7,Female,Degree
20,23,12,5,10,5,Female,Degree
24,42,12,6,7,7,Female,Degree
19,11,7,7,8,7,Female,Pre-U
27,35,8,7,4,5,Female,High school
26,39,9,6,7,5,Female,Pre-U
26,30,7,6,8,8,Female,Postgraduates
22,30,6,7,6,3,Male,Degree
21,24,8,6,6,10,Female,Degree
24,44,10,6,6,5,Male,Degree
22,33,15,5,6,5,Female,Degree
18,21,9,4,7,9,Female,Degree
17,16,12,6,6,8,Female,Degree
33,29,5,7,7,9,Female,Degree
36,23,12,6,8,6,Male,Degree
24,31,13,7,4,9,Male,Degree
31,31,4,5,9,9,Male,Degree
25,46,13,7,9,6,Male,High school
26,32,12,3,6,8,Male,Pre-U
31,21,10,5,9,7,Male,Degree
25,21,10,5,5,5,Male,Degree
35,33,11,7,8,6,Female,Degree
22,22,6,6,5,5,Male,Degree
25,19,10,6,7,7,Male,Postgraduates
19,25,6,5,8,4,Male,Degree
20,34,9,6,6,6,Male,Degree
26,41,10,5,3,6,Male,Degree
34,28,12,7,8,6,Female,Degree
27,23,9,4,5,5,Female,Degree
22,27,14,5,8,4,Female,Postgraduates
17,28,8,5,5,7,Male,Degree
24,37,8,5,4,8,Female,Degree
31,29,16,5,7,5,Male,Degree
17,18,6,6,8,4,Male,Degree
18,32,5,5,10,10,Male,Degree
27,18,11,5,7,3,Male,Degree
20,47,12,5,9,8,Female,Pre-U
27,23,16,6,6,6,Female,Degree
29,23,12,6,6,5,Female,Degree
17,50,6,5,9,7,Female,High school
23,20,6,6,8,6,Female,High school
28,20,8,7,8,8,Female,Pre-U
17,33,15,6,7,7,Female,High school
27,30,11,5,4,3,Male,High school
20,27,10,5,4,6,Male,Degree
28,36,12,5,7,9,Male,Degree
29,31,11,7,9,10,Male,High school
25,39,8,5,3,6,Male,Degree
29,41,7,5,6,8,Male,Pre-U
22,42,10,4,6,8,Male,Degree
17,33,9,5,7,6,Male,Degree
19,33,7,4,6,6,Male,High school
21,44,14,8,5,7,Female,Degree
17,48,8,5,10,3,Male,High school
17,35,15,6,3,6,Female,Degree
30,20,12,7,4,9,Female,Pre-U
19,35,7,6,7,5,Male,High school
24,27,11,7,8,3,Male,Degree
31,38,8,5,8,8,Female,Degree
18,46,8,6,4,6,Male,Pre-U
27,22,11,5,6,8,Male,Pre-U
37,13,12,5,6,5,Female,Degree
24,37,9,7,8,5,Male,Pre-U
31,45,5,5,6,7,Female,Degree
24,17,13,5,8,6,Female,Degree
17,36,8,7,7,6,Male,Degree
26,42,9,6,2,5,Female,Degree
24,22,9,6,4,8,Female,Degree
20,15,9,6,6,6,Female,High school
21,27,6,5,4,10,Male,Postgraduates
18,31,7,4,10,5,Male,Degree
23,33,12,5,3,9,Female,Degree
17,15,9,6,5,8,Female,High school
28,10,10,5,9,9,Male,Degree
28,18,11,5,6,10,Female,Degree
17,42,11,6,4,7,Male,Degree
28,43,6,6,7,5,Male,Degree
27,23,10,8,9,10,Female,Degree
26,19,14,5,7,5,Female,Degree
23,28,9,5,10,8,Male,Degree
30,34,6,5,9,5,Female,Degree
17,22,8,7,7,8,Female,Degree
17,25,10,7,8,8,Female,Degree
31,21,9,4,5,9,Male,Degree
24,46,10,6,6,10,Female,Degree
17,13,10,4,6,5,Male,Postgraduates
23,14,12,7,9,3,Female,High school
28,34,5,6,5,8,Female,Degree
20,46,6,6,5,8,Female,Degree
28,28,11,5,7,8,Female,High school
33,34,12,6,8,9,Female,Pre-U
25,26,10,5,6,6,Female,Degree
17,24,10,6,6,3,Male,Degree
21,13,8,3,8,8,Female,High school
27,30,10,5,7,7,Female,High school
27,31,12,6,7,9,Male,Degree
17,0,13,7,5,5,Female,Degree
24,31,8,5,4,8,Male,Degree
22,37,13,8,10,8,Female,Pre-U
17,14,10,7,9,10,Female,Degree
20,44,10,6,7,7,Male,High school
24,38,9,6,8,4,Female,Degree
33,33,9,4,4,8,Female,Degree
20,16,10,7,7,9,Female,Degree
21,21,7,6,8,7,Male,Degree
26,36,12,5,10,7,Male,Degree
21,32,10,4,8,7,Male,High school
20,40,11,5,3,6,Female,Degree
22,24,13,5,9,7,Male,High school
20,22,11,4,6,7,Male,High school
17,35,14,5,6,4,Female,High school
23,39,11,4,5,8,Male,Postgraduates
26,25,10,7,7,7,Male,Pre-U
30,18,8,5,8,7,Female,Degree
25,29,11,5,6,7,Male,Degree
22,23,7,6,7,7,Male,High school
28,35,10,5,7,6,Female,High school
20,36,5,4,6,10,Female,Degree
22,22,7,6,6,7,Male,Degree
22,31,7,6,2,4,Female,Degree
33,18,9,5,6,5,Male,High school
26,27,10,8,4,4,Male,High school
17,20,11,6,10,7,Male,Degree
24,27,12,4,6,7,Female,Degree
17,15,6,5,6,8,Male,Degree
20,36,5,5,6,5,Male,Pre-U
21,15,5,7,9,7,Female,Degree
28,22,10,6,6,3,Male,Degree
25,31,12,6,7,4,Male,Degree
24,24,4,5,8,6,Female,Degree
36,6,2,6,5,3,Male,Degree
19,23,9,6,4,3,Male,High school
35,46,6,6,6,8,Male,Pre-U
29,32,10,5,7,7,Male,High school
27,18,6,5,5,7,Male,Degree
22,32,11,5,7,6,Female,Degree
22,41,9,5,6,4,Female,Degree
20,21,12,6,10,9,Male,Degree
17,28,8,4,7,3,Female,Degree
18,34,8,7,7,4,Male,Degree
17,37,11,6,8,8,Male,Pre-U
24,30,12,6,3,6,Male,Degree
18,20,4,6,7,4,Female,High school
25,25,7,5,8,6,Male,Pre-U
25,15,12,5,7,10,Female,Degree
25,19,8,6,3,6,Male,Degree
27,49,9,7,7,7,Female,Degree
36,20,6,6,8,7,Female,Degree
39,44,9,5,7,6,Male,Degree
19,26,11,8,2,7,Male,High school
26,15,11,4,7,5,Female,Degree
30,29,8,8,7,7,Female,Degree
24,33,15,5,7,5,Male,High school
21,39,10,6,8,6,Female,Postgraduates
19,32,13,4,8,7,Female,Degree
22,23,12,6,5,5,Female,Degree
24,7,13,7,10,10,Female,Degree
17,13,10,5,6,5,Female,Degree
32,35,14,3,5,5,Female,Pre-U
27,35,9,7,7,6,Male,High school
27,41,7,6,4,8,Male,Degree
25,36,13,6,9,4,Female,Degree
24,38,8,5,7,10,Male,Pre-U
24,14,7,5,7,10,Male,Degree
25,44,10,5,5,8,Female,High school
31,34,16,6,10,7,Female,Degree
25,34,16,6,9,9,Female,Pre-U
23,47,12,6,8,9,Male,High school
31,27,11,6,8,4,Male,Degree
22,29,12,7,8,6,Female,Degree
17,26,2,6,6,6,Male,High school
22,23,9,6,7,5,Male,Degree
24,21,8,5,5,8,Female,Degree
35,30,9,7,7,4,Female,Degree
24,33,12,7,4,7,Female,Degree
24,35,10,3,4,6,Female,Degree
23,27,4,6,7,8,Female,Degree
30,20,8,4,5,7,Male,High school
26,25,8,6,3,3,Female,Degree
21,21,9,6,4,8,Male,Degree
23,37,12,4,8,6,Male,Degree
25,21,14,4,5,5,Male,Degree
24,37,11,5,8,7,Male,High school
27,26,11,6,6,10,Male,Degree
25,25,11,6,10,8,Female,Degree
28,27,5,5,7,8,Male,Degree
22,41,9,7,7,5,Female,Degree
28,35,4,5,6,6,Male,Degree
33,18,10,5,4,10,Male,High school
18,42,5,4,6,7,Female,Pre-U
34,36,13,5,6,7,Female,Degree
19,47,6,6,4,4,Male,Degree
39,8,13,6,6,7,Male,High school
20,19,7,7,7,6,Male,High school
27,23,4,4,8,7,Male,Degree
26,33,9,5,9,5,Male,Degree
32,16,1,4,5,6,Female,High school
31,36,12,5,5,10,Male,Degree
27,30,15,5,8,5,Male,High school
26,18,7,8,6,7,Female,Degree
27,49,12,4,9,7,Male,Degree
28,42,8,6,8,8,Male,Pre-U
28,36,10,7,7,9,Male,Pre-U
22,25,7,5,4,6,Female,Degree
24,23,14,6,6,3,Male,Degree
26,25,14,5,4,9,Female,High school
22,34,5,4,7,7,Male,High school
32,13,13,6,9,8,Female,Degree
22,35,8,5,6,9,Male,Degree
28,22,3,6,9,6,Male,Degree
23,26,10,5,6,5,Male,Degree
27,34,15,4,8,7,Male,Pre-U
24,9,11,5,10,5,Male,Postgraduates
27,50,10,7,8,9,Female,Degree
25,28,7,5,10,8,Male,Degree
26,38,7,6,9,6,Female,Degree
25,37,12,6,8,6,Female,High school
28,38,7,7,7,6,Male,High school
21,44,4,7,4,4,Female,Degree
20,50,6,6,10,4,Female,Degree
31,10,12,3,6,10,Female,Degree
25,14,13,4,6,7,Female,High school
23,23,9,4,7,7,Female,Degree
21,39,11,5,6,9,Female,Pre-U
23,24,10,6,8,7,Male,Degree
26,14,11,6,2,10,Male,Degree
21,50,14,6,4,8,Male,Pre-U
27,19,10,5,8,4,Male,Degree
34,25,14,4,8,6,Male,Degree
24,19,3,6,8,8,Female,Degree
17,27,10,5,6,4,Male,High school
26,40,10,5,7,8,Female,High school
26,26,6,5,7,7,Female,Degree
30,27,9,7,2,4,Male,Degree
34,32,16,6,8,9,Male,High school
17,41,11,6,7,6,Male,Pre-U
19,39,7,6,6,7,Female,Degree
23,37,16,4,6,7,Male,Degree
23,16,9,6,3,3,Male,Degree
17,50,16,6,5,6,Male,Degree
24,27,11,7,7,6,Male,Degree
24,19,11,8,7,3,Female,Degree
27,36,11,4,5,8,Male,Degree
26,28,11,6,4,6,Male,Degree
25,30,13,7,6,7,Male,Degree
19,37,10,7,6,6,Male,High school
28,33,11,7,7,10,Female,Pre-U
25,26,3,6,6,7,Male,Degree
19,37,10,6,5,7,Male,Degree
27,33,7,5,9,6,Male,Degree
19,36,13,5,6,8,Female,Degree
22,43,12,6,9,6,Female,Degree
23,17,6,4,9,8,Male,Degree
31,33,15,6,6,7,Male,Degree
17,27,11,6,9,6,Male,Degree
22,47,7,4,6,8,Male,Degree
21,29,12,5,6,7,Male,Degree
22,25,14,6,9,8,Female,Degree
23,16,8,4,7,7,Female,Degree
35,29,12,4,5,9,Female,Degree
17,29,8,7,6,10,Male,Degree
19,28,9,5,10,6,Female,Degree
24,29,11,5,9,7,Male,Degree
25,39,11,6,10,4,Female,Degree
28,14,5,4,3,6,Male,Degree
17,47,6,4,7,10,Male,High school
33,30,7,5,6,5,Female,Degree
24,38,10,7,4,10,Male,Degree
22,45,9,4,2,7,Male,Degree
35,18,11,7,7,6,Male,Degree
25,28,6,7,10,6,Male,High school
24,34,4,7,6,5,Female,High school
31,35,10,4,9,7,Male,Degree
22,27,5,6,6,5,Male,Degree
30,26,7,5,6,5,Male,High school
31,31,14,6,5,10,Male,Degree
20,31,8,7,8,6,Female,High school
22,31,10,6,5,5,Male,Degree
17,32,10,6,4,6,Female,Degree
17,25,10,6,5,4,Male,Degree
17,34,9,6,5,7,Female,Degree
23,32,9,6,7,5,Male,Degree
30,35,12,5,2,6,Female,Degree
25,22,13,6,9,7,Male,Degree
31,23,7,4,6,7,Female,Degree
21,28,5,6,4,6,Male,Pre-U
17,18,13,5,8,7,Female,Degree
25,48,7,7,3,4,Male,Degree
23,12,15,6,5,9,Female,Degree
24,34,10,7,5,10,Male,Degree
23,24,5,5,5,6,Female,Degree
17,33,13,6,10,8,Male,Degree
26,41,6,7,6,6,Female,Degree
32,19,13,5,5,7,Male,Degree
25,41,11,5,6,4,Male,Degree
27,31,9,6,8,5,Male,Degree
24,44,10,5,5,4,Female,Degree
22,22,10,6,6,7,Male,Degree
32,23,6,4,5,7,Female,Degree
26,30,12,4,8,3,Male,Degree
22,33,12,6,5,6,Female,High school
24,42,12,5,6,6,Female,High school
25,39,8,6,10,5,Female,Degree
26,41,11,4,5,4,Male,Degree
18,24,7,4,5,7,Female,Degree
34,37,14,5,7,9,Female,Degree
20,27,12,5,5,6,Male,Degree
32,33,9,4,7,3,Male,Degree
27,28,8,7,6,6,Male,Degree
27,41,9,4,6,9,Female,Degree
33,22,10,7,4,6,Female,Degree
18,32,9,6,4,7,Female,Degree
24,25,9,4,7,7,Male,High school
33,30,12,5,9,7,Male,Degree
19,28,8,5,6,4,Female,Degree
26,49,10,4,7,8,Male,Degree
20,35,13,5,5,9,Female,Degree
27,43,6,6,5,9,Female,Postgraduates
25,17,12,4,5,7,Female,Degree
27,28,6,7,5,5,Female,Degree
29,31,7,5,8,9,Male,Pre-U
22,26,5,4,3,5,Male,Degree
20,33,10,6,8,6,Male,Degree
24,36,7,6,8,10,Female,Degree
20,35,15,7,8,7,Female,Degree
23,33,11,5,5,6,Female,Degree
25,5,6,6,6,5,Female,Degree
22,26,10,6,8,10,Male,Degree
23,38,8,5,7,6,Female,Degree
26,33,8,6,9,5,Female,Degree
25,32,10,5,5,3,Male,High school
17,30,10,7,2,6,Female,Degree
32,31,9,5,10,10,Female,Degree
25,27,11,5,7,7,Female,High school
20,10,5,4,7,4,Female,High school
26,27,7,5,5,5,Male,Degree
26,18,15,4,7,9,Male,High school
30,21,14,5,2,7,Male,Degree
24,49,14,7,4,6,Male,Degree
25,31,6,6,6,5,Male,Degree
17,20,8,6,8,7,Male,Degree
20,20,9,7,9,6,Female,Postgraduates
31,41,8,4,7,6,Female,Degree
27,32,7,5,5,8,Female,Degree
27,13,7,4,5,7,Male,Pre-U
30,28,14,5,4,10,Female,Degree
22,23,12,5,7,6,Female,Degree
28,36,15,7,7,8,Male,Degree
24,29,10,5,6,4,Male,Degree
23,26,7,6,7,5,Male,Degree
24,50,8,5,9,9,Male,Degree
24,9,12,6,7,8,Female,Degree
21,50,16,6,7,5,Female,Degree
29,18,7,4,7,10,Female,Degree
18,15,12,6,4,3,Male,Pre-U
23,29,8,6,5,4,Male,High school
17,22,7,6,9,8,Female,Degree
25,34,15,5,7,6,Female,Degree
17,34,12,6,3,5,Female,Degree
21,17,12,4,7,10,Male,High school
17,32,8,4,6,3,Female,Pre-U
27,36,9,6,8,3,Female,Degree
18,38,10,7,6,8,Male,Degree
